"content_id","content_name","content_type","display_name","desc","url","domain","provider_id","comment","visible","creation_date","creator_id","privacy","author_name"
4023,CopyFileTo__65ff72dcf1aa1b9c009c1993-65ff6de7f1aa1b9c009c1931-0,pcex_set,CopyFileTo,Program Construction Examples,http://pawscomp2.sis.pitt.edu/pcex-authoring/preview/index.html?load=http://pawscomp2.sis.pitt.edu/pcex-authoring/api/hub/65ff72dcf1aa1b9c009c1993?_t=1748888570105&index=0,java,pcex,,1,2025-05-30 19:28:56.000,moh70@pitt.edu,public,Mohammad Hassany
4057,testing_um2_arun_java_SLR_weat_ch__683a7a4f4499273ab8db658a-undefined-1,pcex_set,testing_um2_arun_java_SLR_weat_ch,Program Construction Examples,http://pawscomp2.sis.pitt.edu/pcex-authoring/preview/index.html?load=http://pawscomp2.sis.pitt.edu/pcex-authoring/api/hub/683a7a4f4499273ab8db658a?_t=1748717869706&index=1,java,pcex,,0,2025-05-31 14:54:24.000,arl122@pitt.edu,private,Arun Balajiee Lekshmi Narayanan
4061,testing_um2_arun_java_SLR_weat_ex__683b514227c37279d84e7db0-683a857a27c37279d84e7941-0,pcex_set,testing_um2_arun_java_SLR_weat_ex,Program Construction Examples,http://pawscomp2.sis.pitt.edu/pcex-authoring/preview/index.html?load=http://pawscomp2.sis.pitt.edu/pcex-authoring/api/hub/683b514227c37279d84e7db0?_t=1748718394194&index=0,java,pcex,,1,2025-05-31 15:06:22.000,arl122@pitt.edu,public,Arun Balajiee Lekshmi Narayanan
4063,testing_um2_student_average_arun_ex__683b6c02d426b6fa3bccce79-683b6b2cd426b6fa3bccce68-0,pcex_set,testing_um2_student_average_arun_ex,Program Construction Examples,http://pawscomp2.sis.pitt.edu/pcex-authoring/preview/index.html?load=http://pawscomp2.sis.pitt.edu/pcex-authoring/api/hub/683b6c02d426b6fa3bccce79?_t=1748726678763&index=0,java,pcex,,1,2025-05-31 16:55:49.000,arl122@pitt.edu,public,Arun Balajiee Lekshmi Narayanan
4168,Pythagorean Theorem (Case 1)__664e23fd91363872f0ba32ea-664e23fa91363872f0ba32e6-0,pcex_set,Pythagorean Theorem (Case 1),Program Construction Examples,http://pawscomp2.sis.pitt.edu/pcex-authoring/preview/index.html?load=http://pawscomp2.sis.pitt.edu/pcex-authoring/api/hub/664e23fd91363872f0ba32ea?_t=1749071975286&index=0,py,pcex,,1,2025-06-04 17:19:17.000,moh70@pitt.edu,public,Mohammad Hassany
4170,Hello World!Hello World!Hello World!Hello World!Hello World!Hello World!Hello World!Hello World!Hello World!Hello World!__6841a563df5ea13f28e41c50-64b763c860d31a67899d9b9a-0,pcex_set,Hello World!Hello World!Hello World!Hello World!Hello World!Hello World!Hello World!Hello World!Hello World!Hello World!,Program Construction Examples,http://pawscomp2.sis.pitt.edu/pcex-authoring/preview/index.html?load=http://pawscomp2.sis.pitt.edu/pcex-authoring/api/hub/6841a563df5ea13f28e41c50?_t=1749132783194&index=0,java,pcex,,1,2025-06-05 10:12:27.000,moh70@pitt.edu,private,Mohammad Hassany
4173,py_nested_if_temperature_es__6827373266a8e1b992c81241,pcex_set,Advertir al Usuario sobre los Cambios en la Temperatura,Program Construction Examples,http://pawscomp2.sis.pitt.edu/pcex-authoring/preview/index.html?load=http://pawscomp2.sis.pitt.edu/pcex-authoring/api/hub/6827373266a8e1b992c81241?_t=1749534494091&index=0,py,pcex,,1,2025-06-09 10:31:21.000,jab464@pitt.edu,public,Jordan Ariel Barria Pineda
4175,py_win_percentage_es__6834728366a8e1b992c843d6,pcex_set,Calculando el Porcentaje de Victorias de un Equipo (Caso 1),Program Construction Examples,http://pawscomp2.sis.pitt.edu/pcex-authoring/preview/index.html?load=http://pawscomp2.sis.pitt.edu/pcex-authoring/api/hub/6834728366a8e1b992c843d6?_t=1749534479778&index=0&locale=es,py,pcex,,1,2025-06-09 10:31:38.000,jab464@pitt.edu,public,Jordan Ariel Barria Pineda
4178,JSON ITERATION 1__6847083edf5ea13f28e4317c-67a9950a136666301a9e5075-0,pcex_set,JSON ITERATION 1,Program Construction Examples,http://pawscomp2.sis.pitt.edu/pcex-authoring/preview/index.html?load=http://pawscomp2.sis.pitt.edu/pcex-authoring/api/hub/6847083edf5ea13f28e4317c?_t=1749485645138&index=0&locale=es,py,pcex,,1,2025-06-09 12:13:57.000,arl122@pitt.edu,public,Arun Balajiee Lekshmi Narayanan
4180,py_divisor_es__68273d7266a8e1b992c81271,pcex_set,Encontrar el Divisor Mas Pequeno de un Numero Positivo,Program Construction Examples,http://pawscomp2.sis.pitt.edu/pcex-authoring/preview/index.html?load=http://pawscomp2.sis.pitt.edu/pcex-authoring/api/hub/68273d7266a8e1b992c81271?_t=1750184380227&index=0&locale=es,py,pcex,,1,2025-06-10 08:49:49.000,i.alpizarchacon@uu.nl,public,Isaac Alpizar-Chacon
